company_id,type,rule_id,text,confidence_pct
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJFINSV,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BAJAJFINSV,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BAJAJFINSV,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJFINSV,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
BAJAJFINSV,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
BAJAJHLDNG,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BAJAJHLDNG,pro,P12,Growing asset base funded by declining borrowings reflects self-sustaining growth.,92
BAJAJHLDNG,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
BAJAJHLDNG,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
BAJAJHLDNG,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJHLDNG,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJFINANCE,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BAJFINANCE,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
BAJFINANCE,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BAJFINANCE,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
BAJFINANCE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJFINANCE,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
BAJFINANCE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJFINANCE,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BANKBARODA,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BANKBARODA,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
BANKBARODA,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
BANKBARODA,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BANKBARODA,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BANKBARODA,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
BANKBARODA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BEL,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BEL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BHARTIARTL,con,C1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring.,90
BHARTIARTL,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
BHARTIARTL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BHARTIARTL,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
BHARTIARTL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BHARTIARTL,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
BHARTIARTL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BHEL,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BHEL,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
BHEL,pro,P0,Business demonstrates stable financial performance with balanced operating metrics.,65
BHEL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BOSCHLTD,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
BOSCHLTD,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BOSCHLTD,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BOSCHLTD,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BOSCHLTD,pro,P12,Growing asset base funded by declining borrowings reflects self-sustaining growth.,92
BOSCHLTD,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
BOSCHLTD,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BPCL,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
BPCL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BPCL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BPCL,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
BPCL,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
BPCL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BPCL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BRITANNIA,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BRITANNIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BRITANNIA,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
BRITANNIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CANBK,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
CANBK,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
CANBK,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
CANBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
CANBK,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
CANBK,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
CANBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CANBK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
CANBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CHOLAFIN,con,C2,Negative free cash flow raises concern about cash generation quality.,85
CHOLAFIN,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
CHOLAFIN,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
CHOLAFIN,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
CHOLAFIN,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
CHOLAFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CHOLAFIN,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
CHOLAFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CHOLAFIN,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CIPLA,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
CIPLA,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
CIPLA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
CIPLA,pro,P12,Growing asset base funded by declining borrowings reflects self-sustaining growth.,92
CIPLA,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
CIPLA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CIPLA,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
CIPLA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CIPLA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
COALINDIA,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
COALINDIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
COALINDIA,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
COALINDIA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
COALINDIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
COALINDIA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DABUR,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
DABUR,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
DABUR,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
DABUR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DIVISLAB,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
DIVISLAB,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
DIVISLAB,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
DIVISLAB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DIVISLAB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DLF,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
DLF,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
DLF,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
DLF,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
DLF,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DMART,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
DMART,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
DMART,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
DMART,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
DMART,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
DMART,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
DMART,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DMART,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DRREDDY,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
DRREDDY,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
DRREDDY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
DRREDDY,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
DRREDDY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DRREDDY,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
DRREDDY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DRREDDY,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
EICHERMOT,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
EICHERMOT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
EICHERMOT,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
EICHERMOT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
EICHERMOT,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
EICHERMOT,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
EICHERMOT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
GAIL,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
GAIL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
GAIL,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
GAIL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
GODREJCP,con,C2,Negative free cash flow raises concern about cash generation quality.,85
GODREJCP,con,C3,Company reported a negative net profit margin in the latest financial year.,95
GODREJCP,pro,P0,Business demonstrates stable financial performance with balanced operating metrics.,65
GODREJCP,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
GRASIM,con,C2,Negative free cash flow raises concern about cash generation quality.,85
GRASIM,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
GRASIM,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
GRASIM,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
GRASIM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
GRASIM,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
GRASIM,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HAL,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
HAL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HAL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
HAL,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HAL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HAL,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
HAL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HAL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HAVELLS,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
HAVELLS,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HAVELLS,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HAVELLS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HCLTECH,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
HCLTECH,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HCLTECH,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HCLTECH,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HDFCBANK,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
HDFCBANK,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
HDFCBANK,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HDFCBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
HDFCBANK,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HDFCBANK,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
HDFCBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCBANK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
HDFCBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HDFCLIFE,con,C2,Negative free cash flow raises concern about cash generation quality.,85
HDFCLIFE,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
HDFCLIFE,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HDFCLIFE,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
HDFCLIFE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCLIFE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HEROMOTOCO,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
HEROMOTOCO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HEROMOTOCO,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HEROMOTOCO,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HEROMOTOCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HEROMOTOCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDALCO,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
HINDALCO,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HINDALCO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
HINDALCO,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HINDALCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDALCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDUNILVR,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
HINDUNILVR,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HINDUNILVR,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
HINDUNILVR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
HINDUNILVR,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
HINDUNILVR,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDUNILVR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ICICIBANK,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
ICICIBANK,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
ICICIBANK,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ICICIBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
ICICIBANK,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ICICIBANK,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ICICIBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIBANK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
ICICIBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ICICIGI,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
ICICIGI,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ICICIGI,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ICICIGI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIGI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ICICIPRULI,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
ICICIPRULI,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ICICIPRULI,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ICICIPRULI,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ICICIPRULI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIPRULI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
INDIGO,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
INDIGO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
INDIGO,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
INDIGO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
INDIGO,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
INDIGO,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
INDIGO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
INDIGO,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
INDIGO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
INDIGO,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
INDUSINDBK,con,C2,Negative free cash flow raises concern about cash generation quality.,85
INDUSINDBK,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
INDUSINDBK,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
INDUSINDBK,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
INDUSINDBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
INDUSINDBK,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
INDUSINDBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
INDUSINDBK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
INDUSINDBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
INFY,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
INFY,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
INFY,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
INFY,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
